1,Ви втратили пам’ять. Прийняти виклик Лабіринту?,Прийняти виклик,2,Відхилити виклик,-1
2,Ви прийняли виклик. Перед вами два шляхи: Лівий чи Правий коридор.,Лівий коридор (руни),3,Правий коридор (тронна зала),10
3,Ви вибрали лівий коридор,Використати магію на стінах сяють древні символи.,4,Спробувати силою вибити двері,-1,""
4,Перед вами масивні кам’яні двері з написом.,Спробувати прочитати напис,5,Відкрити заклинанням,6
5,Ви намагаєтесь прочитати напис.,Вгадати значення,6,Помилитись,-1
6,Двері відчиняються,Взяти золотий жезл всередині зал з артефактами.,7,Взяти чорний кристал,8,""
7,Ви тримаєте золотий жезл у руках.,Скористатися жезлом,0,Сховати жезл,-1
8,Ви тримаєте чорний кристал.,Вивчати кристал,-1,Кинути на землю,-1
10,Ви входите до тронної зали. Тінь на троні питає: «Хто ти?»,Сказати «Я володар»,11,Сказати «Я ніхто»,-1
11,Тінь зникає. Попереду два коридори.,Увійти в світлий коридор,12,Увійти в темний коридор,-1
12,У залі ви зустрічаєте істоту  що пропонує угоду.,Прийняти угоду,13,Відмовитись,-1,""
13,Перед вами двоє дверей.,Двері з білим сяйвом,14,Двері з чорним полум’ям,-1
14,Ви опиняєтесь на довгому мосту над безоднею.,Йти повільно,15,Бігти швидко,-1
15,Ви доходите до останньої зали. Перед вами трон і ворота.,Сісти на трон,0,Спробувати силою відкрити ворота,-1
